ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
MRT,114456,140142,156131,199650,270733,304877,165312,223207,195328,216900,276238,372011,437709,387833,378339,403776,609754
MUS,9702,11045,10762,11001,10321,10255,9124,8500,7116,8293.4,7933.5,7846.3,6865,8323.3,15432.5,16514.99,19083.32
MWI,50530,41187,41971,54209,57196,60407,74287,68000,71719,70945,100929,85248,128624,115953,120870.6,146617,160498.4
MYS,1461223,1415834,1463625,1483324,1542062,1434097,1518875,1658291,1757034,1874265,2018700,1909572,2116237,2023322,1989740,2003019,1992258
NAM,590744,548847,626156,638349,571391,554187,509858.5,413693.5,373427.6,379512.6,382624.6,414504.7,470314.7,486439.4,444611.6,510729.1,504468.9
NCL,5247.4,5392,5375.9,5336.5,6143,6000,5698,5627.7,6025,5785,5250,5461,5456,5465,5722,5260,5402
NER,16265,20821,23600,55900,51506,50058,29875,29768,30000,29954,40070,53258,46600,45200,47329,27300,34892
NGA,467095,476544,511719,505839,509201,579537,636901,615507,744575,751006,817516,856614,922652,1000061,1073059,1027058,1041458
NIC,27954,25783,25647,22659,27548,38222,43418,38849,47390,56796,57950,49275,58135,66693.9,81149,65406,68030
NLD,571005,575205,518465,592821,600234,626976,558632,544433,487186.7,442582.6,501364.1,413895.9,393393.4,373962,434406,447396,433214
NOR,3383120,3372900,3474416,3286434,3309501,3208377,3114154,3356219,3433557,3654664,3858236,3578577,3612414,3481353,3788424,3822151,3529576
NPL,31723,33270,35000,36568,39947,42463,45425,46779,48750,48230,49730,52450,56000,57520,64900,69500,70543
NRU,380,360.4,342,342,300,330,370.8,420,475,530,589,540,493,523.1,530.3,530.3,530.3
NZL,639099,645860,675232,635570,638292,650762,584322,606600,564892.3,544720.4,547185.4,547604,542087.5,541150.2,552572,524588.2,533807.2
OMN,120421,129907,142669,138833,165531.4,157544,147782,151840,152031,158669.4,164054,158723,191731,206522,211319.4,257192,279709
PAK,626554,600798,599104,564881,556993,515472,611247,570148,586512,586415,594566,596091,613769,624392,624913,644659,669586
PAN,229375,279896,259940,236342,222422,272281,272350,231444,238902,245780.4,188476.5,177804.2,185501.6,208612.2,171545,151579.3,153258
PER,10700000,7999263,8782897,6107545,9634059,9419469,7049318,7260861,7451437,6977772,4394996,8347158,4925089,6002129,3714469,4929850,3911989
PHL,3021394,3182445,3376773,3605597,3922323,4157388,4391317,4675622,4900507,4992736,5050190,4830283,4749536,4576328,4587385,4503067,4228906
PLW,1273,1086,1031,1051,1084,1435.9,972,1159.82,1188.2,1075.88,992.11,1023.78,940.911,906.895,893.326,874.19,841.2
PNG,110318.4,125473.9,141886.4,177624.6,243430.4,255064.5,254239.7,248731.2,223949.5,232031.7,228049.9,187311.7,260851.4,218542.5,262394.5,241594.5,315444.5
POL,253477,260524,256149,215835,227239,193167,181346,187448,179309,260396,220473,227345,230646,249378.1,231707.7,242399,256415
PRI,5608,5457,3699,4095,3799,3912,3112,2389.3,2485,2363,2610,2044,1881,2021.92,2077,2168,1921
PRK,680550,714595,713095,713095,713105,713175,713180,713250,713550,715660,726285,727800,722410,717975,779945,773950,763100
PRT,199657,202673,211706,220850,229256,227778,237731,264099,231798,205893.1,231797.6,225324.4,209058.8,206899.2,195002.9,199662.9,196737.2
PRY,28103,25570,25200,24700,24700,23920,23250,22550,21850,21200,20757.42,21929.06,22400,23450,24500,25481,25500
PSE,2623,1950,2379,1507,2951,1824,2340,2739,2908,1640,1979,1507,2360,2214,3094,3503,3586
PYF,14704.99,16121.62,16631.73,15617.06,14206.8,14550.83,15261.1,15432.19,14229.69,15279.36,15228.44,15770.92,17041.56,17230.67,17393.56,16094.7,15096.99
QAT,7140,8865,7155,11295,11134,13946,16412,15226,17724,14100,13796,13021,11311,12062,16269,15213,14526
ROU,17099,18427,16228,18932,13232,13337,14751,16495,17942,17151,11669.32,11607.27,13964,15364,16927.98,20348.75,25302.03
RUS,4104502,3729276,3345547,3399975,3063387,3322873,3402263,3590028,3509646,3949267,4196794,4391167,4484507,4521642,4429766,4617875,4947253
RWA,6996,7263,7612,8427,8212,6850.15,7741.2,9246.2,11647.25,11612.3,13100.3,17259.33,19485.98,23555.2,26663,30954.2,26593
SAU,55084,63549,63955,67264,66590,74796,81071,84631.4,91238,94105.85,91519,80557,77907,81212,92540,98130,108002
