ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
GMB,2.254186228,2.473120836,3.525655344,6.128420644,2.552800945,2.596198027,2.727984942,3.031421878,3.185993376,3.298918214,3.031371514,4.468907745,5.779826794,5.728049102,5.25770711,5.734986868,6.052629427,6.249956227,2.470896844
GNB,11.88214451,11.00126881,12.59961646,17.87376642,14.16302945,13.24820575,13.37210373,16.72375073,16.04766125,17.26958119,14.9472052,13.2674004,17.09655743,16.7837934,18.74694624,20.12049357,18.68654274,15.9590661,9.236051387
GNQ,84.22875955,NA,NA,NA,NA,59.54803415,57.86515938,51.86702359,50.15486784,29.58899997,39.25296345,41.18035345,42.40183774,36.29330433,30.9082071,18.92086825,16.12668906,24.82234358,33.72644649
GRC,0.07217598,0.104715927,0.04376398,0.053519918,0.202985495,0.176581035,0.245806935,0.366257404,0.410278137,0.135371145,0.319894474,0.442404705,0.279032992,0.194996719,0.175264919,0.101466373,0.089193265,0.137579156,0.155333552
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0.31573687,0.44824939,1.087064063,0.960297638,1.093032154,0,0,0.146242548,0.487253022,0.030874879,0,0,0,0,0
GTM,1.607315348,1.461328225,1.454041174,1.561977799,1.482709188,1.558035055,1.879558406,1.90601693,1.899149131,1.637922797,2.602226275,2.854043884,2.223613322,2.281043315,3.199287705,2.179968805,2.095506926,1.74582966,1.680286179
GUM,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,12.54802475,12.18948669,10.4576787,11.9921888,13.91883518,15.23844439,13.77185208,15.12532439,15.60219161,16.83481312,23.20794913,25.64068502,27.51599689,24.97885627,19.53201365,17.85024669,24.37626604,21.03013955,19.68675808
HKG,0.000500998,0.000583449,0.000657692,0.000974241,0.001020219,0.000588104,0.000665684,0.000902724,0.001459215,0.001390457,0.001438997,0.001684836,0.00132943,0.001143913,0.00156732,0.001139394,0.001236462,0.001212775,0.000629408
HND,1.519036724,1.390576494,1.398466291,1.361598221,1.390474711,1.463861157,2.527951545,2.208642965,1.745255454,1.539472815,2.722187543,2.316170531,2.057813377,2.203986961,2.717473314,1.909450729,2.282770969,1.997951311,1.410532486
HRV,1.103387341,1.078756919,0.943902355,0.776348173,0.723556293,0.771734852,1.044764347,0.998261171,1.127708167,0.992228223,1.055098916,1.391520608,1.311133301,1.163928952,0.905986338,0.693444669,0.582773185,0.712726689,0.802890647
HTI,0.602198859,0.674836024,0.692007397,0.845124103,0.708210634,0.579783223,0.749763874,0.652892731,0.640002826,0.594347789,1.192176217,0.910408537,0.855276538,0.951285235,1.205249096,0.954616216,1.364659139,1.107664266,0.681454416
HUN,0.678415139,0.684764454,0.443302246,0.41154143,0.439555902,0.412338374,0.543562295,0.474019134,0.638580464,0.514433035,0.537768253,0.699652094,0.639854831,0.512908462,0.401013137,0.286083758,0.249862823,0.301606907,0.380441409
IDN,10.30246462,8.506037745,6.891660258,6.764622714,9.024637901,10.20291558,10.12194426,10.55796872,11.9208943,6.960174785,7.338895822,8.977464317,6.900687233,6.291587756,5.149349386,3.711586976,3.056400863,3.482144897,4.777067222
IMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
IND,2.442021103,2.486473713,2.295373201,2.338733557,3.28031585,3.783263081,4.104824811,4.714531399,7.348158465,3.479525632,4.475318113,5.261092871,3.956419209,3.599661078,2.801732694,1.827964098,1.80731252,2.04390505,2.272636506
IRL,0.061421002,0.062748145,0.052594729,0.038978721,0.041688122,0.036056128,0.382281378,0.316605717,0.089761101,0.063278803,0.138068362,0.12398878,0.084862609,0.076594642,0.08906663,0.056787504,0.100100336,0.142542688,0.133050648
IRN,32.79272776,23.56728437,22.30563053,23.44223613,27.23736956,34.82997703,34.78142584,29.73460882,34.13710281,20.2223867,23.30248524,28.55615488,23.73966457,28.06039824,27.18999779,16.11167098,13.50826892,18.16270623,NA
IRQ,NA,NA,NA,NA,64.1503556,63.93575684,61.82118299,53.05252006,52.71950668,36.69461621,42.64670815,51.15235958,48.730984,45.71354125,45.70811163,35.03167332,30.64679867,37.31029867,45.69548017
ISL,0,0,0,0,0,0,0,0,0,0,0,0.000382766,0.000359865,0.000368072,0.000349275,0.000293643,0.000254894,0.000231334,0.000230612
