ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ECU,32.47704944,31.34562732,30.1578354,29.19149622,30.30681269,30.19809953,29.97262039,29.84377517,29.9766468,30.33660776,30.18883957,29.57843492,30.22588139,30.25044291,22.55476001,23.30649018,22.2096956
EGY,3.306042493,3.353257321,3.439650409,3.424581847,3.493897232,3.539102918,3.549148626,3.55417148,3.558189763,3.705861671,3.687779396,3.636546286,3.712893666,3.748023478,3.732171321,3.807192845,3.750836325
ERI,74.55445545,74.57425743,74.57425743,74.92079208,74.25742574,74.47524752,74.97029703,74.97029703,74.97029703,75.16831683,75.16831683,75.16831683,75.16831683,75.16831683,75.16831683,75.16831683,75.16831683
ESP,59.65130261,59.21527722,58.95118628,58.39826927,58.23750952,58.43435052,57.34297968,56.10787201,56.41940658,56.09032206,55.08889822,54.04096983,53.86137822,53.44395198,53.13368385,53.18906052,52.57724744
EST,23.26020288,20.99551781,16.47086606,19.54942232,18.17409824,20.80443558,21.1960368,21.57584278,21.39183741,21.98159915,22.38263713,22.3165841,22.55013032,22.19921785,22.40625719,22.84334023,23.07338394
ETH,30.662,30.60540039,30.498,31.607,33.101,33.591,34.219,35.077,34.513,34.985,35.683,36.32519922,36.488,36.259,36.259,36.259,36.259
FIN,7.281919958,7.295052365,7.341015792,7.37384681,7.396828524,7.465117203,7.56568363,7.546778593,7.556432716,7.556762093,7.541625213,7.524433504,7.519497508,7.431965514,7.460265549,7.480503775,7.485768813
FJI,23.42638205,23.42638205,23.42638205,23.42638205,23.42638205,23.42638205,23.42638205,23.37164751,23.42638205,23.40448857,23.26217843,23.26217843,23.26217843,23.26217843,23.26217843,23.26217843,23.26217843
FRA,54.43607963,54.26422923,54.07685204,53.90833912,53.7987147,53.67550923,53.53360406,53.33892184,53.16359762,52.99886734,52.82792694,52.74081058,52.67908399,52.54923164,52.53608375,52.46376323,52.44754417
FRO,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041,2.148997041
FSM,32.14285714,32.14285714,32.14285714,32.14285714,32.14285714,32.14285714,32.14285714,32.14285714,32.14285714,31.42857143,31.42857143,31.42857143,31.42857143,31.42857143,31.42857143,31.42857143,31.42857143
GAB,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416
GBR,70.11945604,70.07398834,70.16905717,70.08638862,70.47906419,70.08638862,73.73207126,72.9425867,73.0955235,71.6116232,71.19414707,70.94614145,71.02054313,71.30243963,71.22721448,70.83867234,71.71487814
GEO,43.17167938,43.21485106,43.22924162,43.25802274,35.861275,36.26421068,36.23542956,36.221039,36.17786732,35.94761836,35.40077709,35.14750183,35.0410131,35.77637211,34.76845674,34.79781404,34.45100014
GHA,63.41742111,63.76900765,64.30078228,65.19732794,66.36195834,66.36195834,67.24092467,67.68040784,68.55937418,68.55937418,68.64727081,69.08675398,68.99885734,68.99885734,68.99885734,68.99885734,68.99885734
GIB,,,,,,,,,,,,,,,,,
GIN,54.89581638,55.10336969,55.91730425,56.34461989,56.69054208,57.46784958,57.50447664,57.70796028,57.95214065,57.99283738,58.19632102,58.19632102,58.6032883,59.01025558,59.01025558,59.01025558,59.01025558
GMB,54.54545455,53.35968379,51.08695652,50.09881423,50.88932806,52.07509881,48.91304348,48.91304348,54.54545455,59.58498024,60.77075099,60.77075099,59.7826087,59.7826087,59.7826087,59.7826087,59.7826087
GNB,57.89473684,57.89473684,57.21906117,56.89900427,57.25462304,57.25462304,57.25462304,57.25462304,57.25462304,57.25462304,57.9658606,57.9658606,57.9658606,57.9658606,57.9658606,57.9658606,57.9658606
GNQ,11.90730838,11.90730838,11.55080214,11.55080214,11.55080214,11.55080214,11.1942959,11.1942959,11.01604278,10.48128342,10.48128342,10.12477718,10.12477718,10.12477718,10.12477718,10.12477718,10.12477718
GRC,66.16757176,65.46159814,64.72459271,64.01861908,62.68425136,62.10240497,61.0007758,60.14740109,59.4026377,58.65011637,58.09930178,57.37781226,56.50116369,55.49262995,48.10705974,48.09154383,47.60279286
GRD,35.29411765,38.23529412,38.23529412,35.29411765,35.29411765,20.58823529,20.58823529,20.58823529,20.58823529,23.52941176,23.52941176,23.52941176,23.52941176,23.52941176,23.52941176,23.52941176,23.52941176
GRL,0.584236821,0.584967733,0.585698609,0.586429521,0.587160434,0.587891346,0.588622259,0.589353134,0.590084047,0.590814959,0.591545872,0.592276784,0.59300766,0.592203697,0.592228047,0.592276784,0.592301134
GTM,41.66666667,41.94662187,42.22657708,47.25643897,44.79283315,42.57185517,40.12691303,41.19074281,38.61515491,37.73366964,36.9734983,36.30664536,35.54647174,34.72097752,35.40313595,35.98357596,35.98357596
GUM,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,35.18518519,35.18518519,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333
