Country Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
MAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,2214.604323,1939.275662,1736.850395,1557.457814,1382.003823,1236.8185,1127.903915,1044.872858,984.5605626,930.5707576,872.3930264,815.0358488
MCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,NA,NA,NA,NA,NA,NA,544.1482233,551.8605878,556.6046293,563.7863333,566.5409319,587.9880573
MDG,62961.26836,55486.68657,48512.80889,42134.70678,36495.01843,31649.87017,27395.3939,23487.82327,20101.25545,17341.17134,15080.56625,13179.24386
MDV,316.1155719,279.1191001,243.2162922,207.4330164,176.627475,147.7657814,126.9728405,113.7069998,101.9766473,89.50628334,75.52280663,60.43537645
MEA,2068.248327,1802.107937,1570.782864,1364.148737,1164.905732,991.792443,867.5917186,773.7090073,704.0563874,636.8138186,573.3821893,525.7469705
MEX,10175.31445,8710.243383,7478.522926,6505.497034,5755.808758,5164.136133,4697.092865,4322.964195,4022.234835,3746.433228,3487.554411,3277.839116
MHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,12582.26735,11133.15467,9824.57472,8801.64586,7938.965933,7156.248489,7189.65446,6648.543575,6211.988531,5838.698238,5507.354781,5203.917885
MKD,NA,NA,NA,NA,NA,NA,2715.397662,2700.556315,2635.521955,2614.495538,2603.319232,2593.664925
MLI,11149.58337,10514.89329,9760.122223,8938.857766,8120.541315,7442.122612,6779.405161,5943.911468,5164.89353,4395.135903,3754.812731,3241.065773
MLT,155.9123186,162.092762,166.9697471,164.51119,154.9564588,146.5956428,137.3708578,131.9257767,127.5352363,124.1628229,120.2300799,107.9062135
MMR,44189.56946,39472.56468,35106.64106,31317.57242,28068.29175,25454.04251,23654.71977,22275.41325,21026.30021,20213.02106,19508.41782,18788.92156
MNA,2187.17332,1913.631111,1677.413219,1470.809062,1269.058746,1089.182327,948.8804895,853.1850754,780.1548971,715.1142221,654.1218211,604.2425854
MNE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNG,34410.23527,29662.81561,25650.9859,22276.17723,19575.55913,17114.6054,15511.51217,14898.89303,14243.25932,13416.51056,12319.9011,11176.09805
MNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOZ,13360.31326,11915.37164,10617.98695,9340.194853,8228.179307,7844.300873,7264.957791,6116.907333,5345.300269,4627.809889,4034.159963,3500.993944
MRT,443.6114407,381.9180881,328.5574766,283.4589647,244.8497388,212.7935753,186.6851485,164.3677778,143.9834534,124.901952,107.9169202,93.40159745
MUS,3928.041591,3509.300092,3228.672395,2985.742024,2771.729767,2655.195245,2536.790844,2395.748787,2283.705829,2219.210571,2190.492419,2175.369065
MWI,4204.168378,3709.955922,3254.979877,2822.687975,2458.123191,1982.523332,1666.327,1572.347569,1377.878124,1209.731095,1048.323559,913.4025871
MYS,66725.43874,57732.57693,51217.39781,45346.81833,40079.56485,35104.70037,30522.0427,26898.18896,23958.63484,21706.28869,19953.08342,18646.72667
NAC,27628.29512,25866.63259,24418.98677,23232.85573,22073.28922,21091.36258,19895.72897,18733.29182,17768.84545,16963.95326,16259.70156,15671.85663
NAM,9261.500574,8173.197485,7088.982846,6203.705102,5574.141053,4787.083578,4060.777177,3627.735451,3326.997995,3069.997947,2806.663274,2563.864576
NCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,975.4118189,844.4747705,734.0257643,637.388325,551.7432723,477.5592194,408.5552401,343.8723326,287.1208733,238.3318838,196.6821519,162.0191249
NGA,4699.146401,4222.21208,3767.10027,3288.537109,2854.281601,2509.993722,2206.432023,1947.863177,1718.559397,1510.182068,1321.542677,1157.836436
NIC,82758.21145,71087.14638,61046.50595,52319.89496,45208.15286,39952.20059,35788.63534,32355.23312,29927.24728,27942.42501,26109.35507,24464.18808
NLD,931.7541738,873.1405381,825.2934124,793.8693082,768.5487494,750.0833445,724.4388661,704.6471479,681.1597227,671.4811458,656.5219306,642.0996987
NOR,104976.2594,100936.9966,97126.77638,94479.50327,92835.91107,91236.8444,89119.05349,86716.54608,84175.10272,81118.62154,76117.25485,72390.05429
NPL,18997.14439,17411.98361,15751.23288,14128.34626,12600.58295,11246.22149,9940.655989,8775.824702,8015.975329,7512.531183,7343.689096,7172.666048
NRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZL,131748.5898,120039.6461,112607.1834,104800.9743,103608.8844,99865.62424,92589.97084,86478.19533,82816.25934,77418.43837,74181.6202,67932.52451
OED,15629.93803,14648.05542,13805.88603,13108.29118,12510.38508,12014.25271,11441.34932,10858.11826,10466.23382,10087.52236,9761.825471,9449.164682
OMN,2418.684685,2120.836155,1803.229068,1431.779784,1085.169531,864.2663521,705.9041826,622.2888763,599.6076853,526.8779246,400.2251552,300.0476218
OSS,67024.54563,60592.48745,54199.10072,48348.00469,42610.6166,36961.14566,30225.31535,26890.5225,24549.22974,21841.05561,19274.35634,17365.89912
PAK,1165.28174,1025.052602,896.0284143,775.1045658,659.2226684,559.5927516,482.8325549,419.6633427,367.7707266,327.7553231,293.6777194,264.5423626
PAN,113601.6806,98003.76518,84960.97455,74327.83909,65871.07016,58923.52839,53029.00019,47864.20861,43376.16438,39552.11715,36227.3198,33262.19866
