Country Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
GNB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRC,NA,0.429100007,NA,0.568229973,NA,0.559480011,NA,0.546540022,0.5273,0.578960001,0.561179996,0.576550007,0.661830008,0.625569999,0.598380029,0.671959996,0.69957,0.812510014,0.838450015
GRD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRL,NA,NA,NA,NA,NA,0.527409971,0.556280017,0.55517,0.715810001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,0.0493,0.066739999,0.061889999,0.055300001,0.043499999,0.048140001,0.044709999,NA,NA
GUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HIC,2.179733939,2.203280778,2.209679867,2.278691482,2.345432496,2.375981666,2.31502407,2.285356124,2.235455025,2.253042189,2.278155815,2.280799026,2.362644257,2.432777789,2.430136527,2.443983915,2.475638222,2.466983154,NA
HKG,NA,NA,0.428299993,0.457670003,0.464929998,0.536450028,0.581470013,0.680270016,0.721759975,0.77342999,0.794690013,0.751609981,0.719959974,0.773419976,0.749459982,0.720860004,0.727330029,0.730050027,NA
HND,NA,NA,NA,NA,0.044530001,0.038339999,0.041809998,0.042149998,0.041549999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRV,NA,NA,NA,0.840399981,1.044100046,0.91644001,0.948109984,0.950590014,1.030799985,0.855579972,0.740090013,0.792249978,0.884130001,0.844250023,0.744690001,0.75237,0.751129985,0.815609992,0.790000021
HTI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HUN,0.632619977,0.701420009,0.658339977,0.672410011,0.791769981,0.914690018,0.984889984,0.921930015,0.863879979,0.925069988,0.985769987,0.962040007,0.985230029,1.139269948,1.146729946,1.196200013,1.27038002,1.397310019,1.370720029
IBD,NA,NA,NA,NA,0.650073367,0.68365023,0.733319142,0.775829386,0.803701254,0.848553264,0.874616393,0.901569332,0.963233983,1.036784763,1.107161666,1.141817788,1.290884391,1.342110588,1.49397811
IBT,NA,NA,NA,NA,0.639140161,0.672694586,0.718924659,0.770916322,0.797762177,0.836109118,0.871611584,0.875477113,0.956679994,1.025590534,1.098006272,1.132002653,1.289847227,1.326546968,NA
IDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365430318,NA,NA,NA,NA,NA,NA,NA
IDN,NA,NA,NA,NA,0.06769,0.047559999,NA,NA,NA,NA,NA,NA,NA,0.083319999,NA,NA,NA,0.084890001,NA
IDX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.628040016,0.674849987,0.691659987,0.711650014,0.743950009,0.723230004,0.713159978,0.706889987,0.743849993,0.810440004,0.797219992,0.790799975,0.84108001,0.818809986,0.797179997,0.822239995,NA,NA,NA
INX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRL,1.270560026,1.243309975,1.209679961,1.153409958,1.085180044,1.053629994,1.05614996,1.122789979,1.178410053,1.194270015,1.198819995,1.234179974,1.389310002,1.614549994,1.606619954,1.532649994,1.563609958,1.53599,1.518890023
IRN,NA,NA,NA,NA,NA,0.50217998,0.495579988,0.59483999,0.52196002,0.641550004,0.575749993,NA,0.671119988,0.284480006,0.27759999,NA,0.32506001,NA,NA
IRQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045540001,0.03435,0.045620002,0.036839999,0.034759998,NA,NA,0.039190002
ISL,NA,1.791820049,1.959139943,2.248549938,2.601099968,2.877880096,2.869430065,2.737190008,NA,2.696280003,2.923629999,2.575589895,2.540610075,2.65756011,NA,2.494829893,NA,1.873049974,1.890799999
ISR,2.595769882,2.811000109,2.921360016,3.327219963,3.931689978,4.185150146,4.13173008,3.899689913,3.875119925,4.039440155,4.128190041,4.407440186,4.329140186,4.120999813,3.929909945,4.010980129,4.128580093,4.088160038,4.108580112
ITA,0.948080003,0.989579976,1.007459998,0.982969999,1.005059958,1.04448998,1.084370017,1.06151998,1.052639961,1.046609998,1.086459994,1.132169962,1.163110018,1.220659971,1.22221005,1.208799958,1.269760013,1.305819988,1.286999941
JAM,NA,NA,NA,NA,NA,0.049589999,0.060959999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOR,NA,NA,NA,NA,NA,NA,0.336959988,NA,NA,NA,NA,NA,0.434700012,NA,NA,NA,NA,NA,NA
JPN,2.765010118,2.827620029,2.960200071,2.977339983,3.001689911,3.074480057,3.115619898,3.14387989,3.133209944,3.308700085,3.409100056,3.461420059,3.467060089,3.357340097,3.253940105,3.383130074,3.343139887,3.474090099,3.584180117
KAZ,NA,0.293370008,0.220390007,0.183829993,0.181040004,0.220090002,0.255089998,0.252460003,0.248370007,0.283609986,0.242809996,0.208839998,0.216539994,0.22924,0.153410003,0.157230005,0.168889999,0.174830005,NA
KEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355210006,NA,NA,0.785780013,NA,NA,NA,NA
KGZ,NA,0.193900004,0.210639998,0.179920003,0.156369999,0.171890005,0.198100001,0.222719997,0.199259996,0.198609993,0.230140001,0.234249994,0.190170005,0.15997,0.155469999,0.156330004,0.166099995,0.14914,0.126440004
KHM,NA,NA,NA,NA,NA,NA,0.049800001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,2.240969896,2.285480022,2.148649931,2.062079906,2.180229902,2.34107995,2.27380991,2.351500034,2.532480001,2.62616992,2.830660105,3.000339985,3.123440027,3.293230057,3.465939999,3.743619919,4.025529861,4.148519993,4.291629791
KWT,NA,0.205390006,0.257950008,0.197640002,0.125430003,0.178819999,0.180010006,0.143470004,0.130099997,0.100830004,0.08478,0.08585,0.085500002,0.112199999,0.101400003,0.098980002,0.097209997,0.301530004,NA
LAC,NA,NA,NA,NA,0.559753303,0.539633506,0.532176654,0.564878101,0.569290441,0.621888642,0.612384364,0.667106901,0.717085048,0.756683327,0.804903942,0.785044345,0.790351975,0.861177462,NA
LAO,NA,NA,NA,NA,NA,NA,0.037099998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCA,NA,NA,0.765879989,0.364399999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCN,NA,NA,NA,NA,0.553693517,0.5376165,0.52759907,0.561861378,0.566097033,0.618098182,0.606772312,0.643066821,0.693838024,0.723402609,0.774144048,0.757061431,0.760189013,0.818580226,NA
LDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LKA,0.183559999,NA,NA,NA,0.143920004,NA,NA,NA,0.182099998,NA,0.174199998,NA,0.114440002,NA,0.136869997,NA,NA,0.100809999,NA
LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.517252639,NA,NA,NA,NA,NA
LMY,NA,NA,NA,NA,0.639105488,0.673790253,0.725293172,0.778860822,0.805643823,0.846115898,0.88400894,0.89529445,0.978808065,1.045621033,1.121187701,1.153255145,1.31607875,1.353473252,NA
LSO,NA,NA,NA,NA,NA,NA,0.049430002,0.051309999,0.067730002,NA,NA,NA,NA,0.0296,NA,0.01283,NA,NA,NA
LTE,NA,NA,NA,NA,0.815882329,0.871709349,0.896773147,0.95987821,0.969065665,1.028851052,1.034340819,1.064816915,1.126625128,1.282255728,1.325905376,1.31244162,1.457170948,1.543625187,1.656650549
LTU,0.491549999,0.536580026,0.543770015,0.501999974,0.584800005,0.666790009,0.656700015,0.663389981,0.750660002,0.747409999,0.791190028,0.800930023,0.788439989,0.829670012,0.783479989,0.904250026,0.895060003,0.950810015,1.014770031
LUX,NA,NA,NA,NA,1.568480015,NA,NA,1.64546001,1.618549943,1.587440014,1.686660051,1.609089971,1.643669963,1.710260034,1.527369976,1.49526,1.28839004,1.301429987,1.256100059
LVA,0.39745,0.366560012,0.378899992,0.351999998,0.436150014,0.403349996,0.409249991,0.360430002,0.400510013,0.530200005,0.651719987,0.554769993,0.582270026,0.453150004,0.611339986,0.698629975,0.666530013,0.612839997,0.690389991
MAC,NA,NA,NA,NA,NA,0.065540001,0.073179998,0.064960003,0.05545,0.090329997,0.084629998,0.058060002,0.102509998,0.05477,0.049910001,0.044530001,0.048110001,0.05139,0.08681
MAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,NA,NA,0.285600007,NA,NA,0.634729981,0.549549997,0.659089983,NA,NA,0.63568002,NA,NA,NA,0.714540005,NA,NA,NA,NA
MCO,NA,NA,NA,NA,NA,NA,NA,NA,0.037190001,0.037519999,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,0.872950017,0.806789994,NA,NA,NA,NA,NA,0.324050009,0.349029988,0.398649991,0.406219989,0.545580029,0.534630001,0.525569975,0.43987,0.404989988,0.417329997,0.354189992,0.371520013
MDG,NA,0.220320001,0.110440001,0.096000001,0.119759999,0.218209997,0.245519996,0.33840999,0.223529994,0.175520003,0.163709998,0.140369996,0.134039998,0.146830007,0.113240004,0.10588,NA,NA,0.01562
MDV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,0.259229988,0.287609994,0.316689998,0.356440008,0.317000002,0.338499993,0.381779999,0.388940006,0.394199997,0.403560013,0.373079985,0.368499994,0.403829992,0.431410015,0.45460999,0.425630003,0.431950003,0.501230001,0.538119972
MHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,NA,NA,NA,NA,0.640028179,0.675180985,0.727794458,0.78176071,0.809586364,0.851801305,0.886766006,0.899577387,0.982837872,1.04932979,1.125414482,1.154038878,1.316302153,1.355209794,NA
