Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12367.93824,NA,NA,NA
FRA,33850.24431,33986.64269,34402.95381,34070.72478,34689.8901,35296.0583,35851.06123,36690.6019,37901.4254,39263.21774,40356.25964,40947.77049,40808.8212,40968.95635,41841.48277,42351.18085,43204.62715,43976.05647,43922.32618,42497.93193,43115.35576,43985.78868,43710.9482,43763.04379,43945.59701,44282.82342,44633.57217,45584.57087,46249.28013,46783.4175,NA
FRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FSM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3964.990171,NA,NA,NA
GAB,16797.8789,17391.74323,16035.15755,16055.79693,16581.94423,16747.89198,16872.74997,17270.41821,18104.29599,15754.21381,13984.59727,14764.01959,14911.80771,14630.97646,13487.75028,14167.18205,12684.60798,12761.80426,11746.06418,12315.62191,12107.36342,11980.61836,13013.32314,13459.73799,14661.96273,14167.7361,14170.45668,14058.19505,13723.68652,13621.78844,13463.79443
GBR,30248.05505,29840.97676,29957.32087,30600.75295,31800.18396,32447.73111,33189.82395,34797.63866,36166.07976,36996.28434,38418.99848,39448.69065,40364.18482,41505.85243,42118.40254,43197.12399,43497.86463,43931.26584,43273.7147,41252.0642,42116.32387,42456.73039,42166.17497,42371.50856,43258.72916,43804.28815,44167.4837,45178.37354,45437.66009,45624.75866,NA
GEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9581.980186,10268.19764,11196.55969,11544.51495,12111.97028,12334.6582,12382.40144,12924.2182,13697.40109,14314.32324,13401.79239
GHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3186.433762,3241.498131,3453.830604,3532.772158,3672.626779,4027.843726,4205.57256,4518.922785,4690.600758,4704.115712,4669.387427,4863.976199,5097.149714,5256.694378,NA
GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1760.550225,1839.301032,1866.20868,1784.393267,1850.039797,1894.945895,1969.292299,1933.790491,1993.622758,2053.403321,2213.959111,2405.948119,2409.63997,2437.027146,2577.095554
